Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-05-27,7.419489860534668,7.5582499504089355,7.075419902801514,7.4999098777771,414196,0,0
2016-05-28,7.469749927520752,7.937570095062256,7.406239986419678,7.849460124969482,367974,0,0
2016-05-29,7.8462300300598145,8.533439636230469,7.763629913330078,8.189249992370605,400555,0,0
2016-05-30,8.194849967956543,8.364700317382812,8.118670463562012,8.203570365905762,212989,0,0
2016-05-31,8.187350273132324,8.387510299682617,7.987229824066162,8.176839828491211,341324,0,0
2016-06-01,8.176159858703613,8.373680114746094,8.081640243530273,8.259819984436035,320823,0,0
2016-06-02,8.228870391845703,8.241209983825684,7.934420108795166,8.0997896194458,318685,0,0
2016-06-03,8.123080253601074,8.31404972076416,7.7774200439453125,8.060819625854492,447007,0,0
2016-06-04,8.058589935302734,8.195690155029297,7.848189830780029,8.04638957977295,445286,0,0
2016-06-05,8.037010192871094,8.174070358276367,7.581200122833252,7.581200122833252,537053,0,0
2016-06-06,7.587430000305176,7.855169773101807,7.575170040130615,7.773660182952881,302748,0,0
2016-06-07,7.774930000305176,8.007570266723633,7.676449775695801,7.905749797821045,339881,0,0
2016-06-08,7.930799961090088,8.039569854736328,7.684840202331543,7.877079963684082,272918,0,0
2016-06-09,7.875189781188965,7.936039924621582,7.721409797668457,7.818789958953857,303753,0,0
2016-06-10,7.793849945068359,8.123479843139648,7.775360107421875,7.835529804229736,475334,0,0
2016-06-11,7.8297200202941895,7.949349880218506,7.60605001449585,7.900269985198975,475115,0,0
2016-06-12,7.930990219116211,8.028149604797363,7.476729869842529,7.656129837036133,897877,0,0
2016-06-13,7.653910160064697,7.986979961395264,7.45704984664917,7.717649936676025,600793,0,0
2016-06-14,7.712180137634277,8.412349700927734,7.632299900054932,8.204509735107422,584298,0,0
2016-06-15,8.200650215148926,8.576539993286133,8.001449584960938,8.138919830322266,491191,0,0
2016-06-16,8.16254997253418,8.675970077514648,8.16254997253418,8.59395980834961,368946,0,0
2016-06-17,8.65958023071289,8.913649559020996,8.099699974060059,8.36184024810791,545419,0,0
2016-06-18,8.357990264892578,8.621100425720215,8.052180290222168,8.160289764404297,448647,0,0
2016-06-19,8.163780212402344,8.315679550170898,7.938819885253906,7.989230155944824,556704,0,0
2016-06-20,7.987689971923828,8.307669639587402,7.904590129852295,8.293299674987793,572251,0,0
